SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
R0011,2026-06-05,Återkommande kund,65+,Lokalt område,Chatt,Fakturering eller betalning,Fakturering och betalning,16,3.1,Ja,Ja,,4,4,8,7,59.29,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0012,2026-05-14,Ny kund,45–54,Lokalt område,E-post,Köp eller bokning,Kundinformation,16,0.4,Ja,Nej,3,5,5,9,8,76.2,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0013,2026-03-29,Företagskund,45–54,Lokalt område,På plats,Klagomål eller uppföljning,Teknisk support,36,13.5,Nej,Ja,,5,3,5,3,1000.85,Ja,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0014,2026-02-06,Ny kund,45–54,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,17,2.5,Ja,Nej,,2,5,8,8,122.98,Nej,Det var inget fel på personalen. Problemet var att webbplatsen inte gav mig den information jag behövde.
R0015,2026-01-12,Återkommande kund,35–44,Annanstans i Finland,Webbformulär,Klagomål eller uppföljning,Teknisk support,13,17,Nej,Nej,,3,3,4,3,82.02,Ja,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0016,2026-06-28,Ny kund,45–54,Annan del av regionen,Chatt,Installation eller konfigurering,Teknisk support,48,10.1,Nej,Ja,,4,4,3,3,70.15,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0017,2026-03-16,Företagskund,25–34,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,3,0.5,Ja,Ja,,2,4,8,8,136.94,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0018,2026-06-09,Återkommande kund,18–24,Annanstans i Finland,Chatt,Produkt- eller tjänsteinformation,Kundinformation,4,1.8,Ja,Ja,,4,5,10,9,173.41,Nej,Jag fick exakt den information jag behövde och behövde inte kontakta företaget igen.
R0019,2026-03-07,Återkommande kund,35–44,Annan del av regionen,Telefon,Teknisk support,Teknisk support,33,16.5,Nej,Ja,,4,3,5,5,22.25,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0020,2026-01-31,Ny kund,25–34,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,10,5.2,Nej,Ja,,5,5,9,10,58.68,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0021,2026-06-24,Ny kund,25–34,Lokalt område,På plats,Produkt- eller tjänsteinformation,Kundinformation,23,0.6,Ja,Nej,,3,5,10,8,46.38,Nej,
R0022,2026-02-17,Återkommande kund,25–34,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,17,2.5,Ja,Nej,,2,4,9,7,88.66,Nej,"Jag sökte efter spårningsinformation på webbplatsen men hittade den inte, så jag var tvungen att använda webbformuläret."
R0023,2026-05-23,Ny kund,35–44,Lokalt område,E-post,Köp eller bokning,Kundinformation,19,1.1,Ja,Ja,4,4,5,10,10,175.85,Nej,Utmärkt service av den äldre damen. Hon lyssnade noggrant och löste allt under ett enda samtal.
R0024,2026-03-03,Ny kund,35–44,Annan del av regionen,Telefon,Fakturering eller betalning,Fakturering och betalning,10,3.9,Ja,Nej,,3,4,8,7,90.15,Nej,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0025,2026-06-23,Återkommande kund,18–24,Lokalt område,Webbformulär,Fakturering eller betalning,Fakturering och betalning,17,2.4,Ja,Nej,,3,5,7,7,72.22,Nej,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0026,2026-05-23,Ny kund,55–64,Annan del av regionen,E-post,Teknisk support,Teknisk support,24,10.3,Nej,Nej,3,3,3,4,4,184.38,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0027,2026-02-21,Ny kund,25–34,Lokalt område,E-post,Produkt- eller tjänsteinformation,Kundinformation,12,0.9,Ja,Ja,4,4,5,10,8,257.75,Nej,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0028,2026-03-07,Återkommande kund,55–64,Lokalt område,Webbformulär,Klagomål eller uppföljning,Order och leverans,6,1.8,Ja,Nej,,2,4,8,7,42.24,Ja,
R0029,2026-02-26,Återkommande kund,18–24,Lokalt område,Telefon,Installation eller konfigurering,Teknisk support,25,4.5,Ja,Nej,,3,2,6,6,312.75,Nej,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0030,2026-02-22,Ny kund,55–64,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,18,2.5,Ja,Ja,,4,4,8,8,29.42,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0031,2026-06-08,Återkommande kund,25–34,Annan del av regionen,På plats,Köp eller bokning,Fakturering och betalning,32,8.2,Nej,Ja,,3,4,6,7,56,Ja,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0032,2026-03-21,Återkommande kund,55–64,Annan del av regionen,Chatt,Klagomål eller uppföljning,Order och leverans,2,1.6,Ja,Nej,,2,5,8,7,378.63,Nej,"Sidorna om returer och leveranser var svåra att navigera, så jag kontaktade kundservicen i stället."
R0033,2026-04-20,Företagskund,25–34,Annanstans i Finland,På plats,Produkt- eller tjänsteinformation,Kundinformation,16,8.8,Nej,Ja,,5,5,10,10,100.66,Nej,"Jag var osäker på webbformuläret, men den äldre damen guidade mig genom det steg för steg."
R0034,2026-01-29,Ny kund,55–64,Annanstans i Finland,Chatt,Installation eller konfigurering,Teknisk support,73,2.3,Ja,Ja,,4,3,7,8,78.71,Nej,"Det tekniska problemet var verkligt, men svaret kändes avfärdande snarare än hjälpsamt."
R0035,2026-02-25,Företagskund,45–54,Lokalt område,Chatt,Produkt- eller tjänsteinformation,Kundinformation,12,5.4,Nej,Nej,,5,3,8,8,300.81,Ja,Den äldre damen var antagligen den mest hjälpsamma person jag har talat med på företaget.
R0036,2026-05-26,Ny kund,65+,Annanstans i Finland,Telefon,Teknisk support,Teknisk support,32,6.6,Nej,Ja,,5,2,4,3,232.57,Nej,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0037,2026-05-02,Företagskund,25–34,Lokalt område,Chatt,Produkt- eller tjänsteinformation,Kundinformation,4,0.9,Ja,Ja,,4,4,9,10,111.83,Nej,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0038,2026-02-15,Återkommande kund,25–34,Lokalt område,På plats,Köp eller bokning,Kundinformation,17,0.6,Ja,Nej,,4,4,9,7,239.73,Nej,Den äldre damen var antagligen den mest hjälpsamma person jag har talat med på företaget.
R0039,2026-02-15,Ny kund,45–54,Lokalt område,Chatt,Klagomål eller uppföljning,Kundinformation,1,1.7,Ja,Ja,,4,4,9,8,89.83,Nej,Den äldre kvinnan vid kundinformationen stressade mig inte och försäkrade sig om att jag visste vad jag skulle göra härnäst.
R0040,2026-06-06,Ny kund,18–24,Lokalt område,Webbformulär,Köp eller bokning,Order och leverans,15,2.4,Ja,Nej,,2,4,7,7,55.26,Ja,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0041,2026-03-26,Ny kund,25–34,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,4,1.6,Ja,Nej,3,4,5,10,6,34.63,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0042,2026-03-12,Återkommande kund,65+,Annan del av regionen,Webbformulär,Köp eller bokning,Order och leverans,35,1.3,Ja,Nej,,2,5,8,7,25.33,Nej,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0043,2026-06-14,Företagskund,25–34,Lokalt område,Telefon,Retur eller avbokning,Kundinformation,9,0.8,Ja,Ja,,4,5,10,10,211.22,Nej,"Den äldre damen vid disken var varm, tålmodig och mycket tydlig. När jag gick därifrån visste jag exakt vad jag skulle göra."
R0044,2026-03-21,Ny kund,25–34,Lokalt område,E-post,Klagomål eller uppföljning,Fakturering och betalning,16,2.2,Ja,Ja,5,5,4,7,6,11.69,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0045,2026-01-31,Ny kund,45–54,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,13,9.1,Nej,Nej,,1,4,4,5,117.22,Nej,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0046,2026-01-17,Ny kund,18–24,Annan del av regionen,E-post,Teknisk support,Teknisk support,41,11.8,Nej,Ja,4,4,2,6,5,224.61,Ja,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0047,2026-05-16,Återkommande kund,45–54,Annanstans i Finland,Chatt,Fakturering eller betalning,Fakturering och betalning,1,1.3,Ja,Ja,,3,4,9,9,115.05,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0048,2026-01-07,Återkommande kund,55–64,Lokalt område,Chatt,Teknisk support,Teknisk support,1,11.1,Nej,Nej,,4,3,2,4,205.45,Nej,
R0049,2026-06-06,Återkommande kund,45–54,Lokalt område,Chatt,Teknisk support,Teknisk support,32,12.3,Nej,Ja,,4,2,5,6,258.57,Ja,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0050,2026-06-02,Återkommande kund,25–34,Lokalt område,E-post,Teknisk support,Teknisk support,23,1.7,Ja,Nej,3,3,3,5,3,89.19,Nej,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0051,2026-03-11,Återkommande kund,55–64,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,37,1,Ja,Nej,,3,3,9,8,23.31,Nej,Jag hade en enkel fråga om min beställning som egentligen borde ha besvarats på webbplatsen.
R0052,2026-05-07,Företagskund,55–64,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,22,0.9,Ja,Nej,4,3,4,6,5,138.98,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0053,2026-06-28,Ny kund,35–44,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,23,3,Ja,Nej,,4,5,10,8,57.7,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0054,2026-02-26,Företagskund,35–44,Annan del av regionen,Telefon,Klagomål eller uppföljning,Teknisk support,24,13.7,Nej,Nej,,5,2,5,5,101.53,Ja,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0055,2026-06-11,Företagskund,45–54,Lokalt område,Telefon,Teknisk support,Teknisk support,1,2,Ja,Ja,,4,2,5,6,142.39,Nej,
R0056,2026-03-05,Företagskund,35–44,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,5,3.6,Ja,Ja,3,4,4,9,9,354.16,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0057,2026-03-22,Företagskund,55–64,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,14,4.6,Ja,Nej,,4,4,7,7,109.31,Nej,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0058,2026-02-21,Ny kund,25–34,Lokalt område,Telefon,Teknisk support,Teknisk support,4,9.4,Nej,Ja,,4,3,4,5,26.2,Ja,Ärendet var mer komplicerat än väntat och krävde flera steg innan det blev löst.
R0059,2026-06-02,Återkommande kund,25–34,Annan del av regionen,Webbformulär,Leverans- eller orderstatus,Order och leverans,33,2.2,Ja,Nej,,2,4,6,7,19.5,Nej,
R0060,2026-03-02,Återkommande kund,25–34,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,21,4.3,Ja,Ja,3,4,4,8,8,16.75,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0061,2026-04-04,Ny kund,45–54,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,29,1.2,Ja,Ja,4,4,3,7,7,23.47,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0062,2026-05-16,Ny kund,35–44,Annan del av regionen,Chatt,Installation eller konfigurering,Teknisk support,25,2.6,Ja,Ja,,4,3,5,6,147.02,Nej,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0063,2026-06-26,Företagskund,35–44,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,14,1.5,Ja,Ja,,1,4,9,9,108,Nej,"Beställningen kom som utlovat, men jag skulle vilja få tydligare uppdateringar under leveransen."
R0064,2026-06-01,Företagskund,55–64,Lokalt område,E-post,Köp eller bokning,Fakturering och betalning,35,1.6,Ja,Ja,3,4,5,9,6,179.06,Nej,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0065,2026-03-19,Återkommande kund,45–54,Annan del av regionen,Webbformulär,Teknisk support,Teknisk support,44,11.4,Nej,Nej,,4,2,4,6,44.42,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0066,2026-06-26,Ny kund,35–44,Lokalt område,Webbformulär,Klagomål eller uppföljning,Order och leverans,8,1.7,Ja,Nej,,2,5,9,7,54.03,Nej,"Beställningen kom som utlovat, men jag skulle vilja få tydligare uppdateringar under leveransen."
R0067,2026-03-25,Återkommande kund,55–64,Lokalt område,Webbformulär,Köp eller bokning,Kundinformation,5,0.7,Ja,Ja,,4,4,10,9,32.86,Nej,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0068,2026-02-26,Ny kund,18–24,Lokalt område,På plats,Köp eller bokning,Kundinformation,9,1,Ja,Ja,,5,5,10,8,156.2,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0069,2026-06-03,Ny kund,45–54,Lokalt område,Chatt,Teknisk support,Teknisk support,31,22.2,Nej,Ja,,5,3,3,3,170.28,Ja,
R0070,2026-01-14,Ny kund,65+,Annanstans i Finland,Chatt,Teknisk support,Teknisk support,30,9.5,Nej,Nej,,4,3,4,5,106.72,Ja,Problemet verkar vara löst nu. Jag skulle ha uppskattat en lite tydligare förklaring.
R0071,2026-01-21,Återkommande kund,35–44,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,30,1.6,Ja,Nej,,2,5,8,6,74.98,Nej,
R0072,2026-05-12,Återkommande kund,25–34,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,21,4.6,Ja,Nej,4,2,3,7,6,127.1,Nej,
R0073,2026-03-22,Ny kund,25–34,Annanstans i Finland,Telefon,Produkt- eller tjänsteinformation,Kundinformation,13,0.7,Ja,Ja,,3,4,9,7,586.45,Nej,Den äldre kvinnan vid kundinformationen stressade mig inte och försäkrade sig om att jag visste vad jag skulle göra härnäst.
R0074,2026-05-22,Ny kund,45–54,Lokalt område,E-post,Klagomål eller uppföljning,Teknisk support,14,3.2,Ja,Ja,3,5,2,7,7,49.03,Nej,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0075,2026-03-11,Företagskund,45–54,Annan del av regionen,På plats,Köp eller bokning,Kundinformation,11,6.2,Nej,Ja,,4,4,7,9,98.98,Ja,Min fråga blev besvarad. Processen fungerade bra överlag.
R0076,2026-04-30,Ny kund,35–44,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,1,1.8,Ja,Ja,,5,5,10,10,166.1,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0077,2026-03-01,Ny kund,35–44,Annan del av regionen,På plats,Klagomål eller uppföljning,Kundinformation,3,1.9,Ja,Nej,,4,5,8,9,193.67,Nej,"Den äldre damen vid disken var varm, tålmodig och mycket tydlig. När jag gick därifrån visste jag exakt vad jag skulle göra."
R0078,2026-01-08,Företagskund,18–24,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,20,1.8,Ja,Nej,3,2,5,7,8,32.46,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0079,2026-06-03,Återkommande kund,25–34,Annanstans i Finland,På plats,Klagomål eller uppföljning,Fakturering och betalning,33,4.6,Nej,Ja,,5,5,7,9,315.65,Nej,
R0080,2026-02-11,Återkommande kund,18–24,Lokalt område,På plats,Köp eller bokning,Kundinformation,1,0.8,Ja,Ja,,4,4,10,10,202.37,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0081,2026-01-17,Återkommande kund,65+,Annan del av regionen,Chatt,Klagomål eller uppföljning,Teknisk support,23,1.5,Ja,Nej,,4,2,5,6,121.51,Nej,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0082,2026-04-09,Återkommande kund,45–54,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,12,1.9,Ja,Nej,,2,3,7,7,26.72,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0083,2026-02-25,Återkommande kund,35–44,Annanstans i Finland,Webbformulär,Produkt- eller tjänsteinformation,Kundinformation,11,0.6,Ja,Ja,,4,4,9,8,200.44,Nej,Utmärkt service av den äldre damen. Hon lyssnade noggrant och löste allt under ett enda samtal.
R0084,2026-02-27,Återkommande kund,18–24,Annan del av regionen,Webbformulär,Leverans- eller orderstatus,Order och leverans,14,1.4,Ja,Nej,,2,4,7,7,80.93,Nej,
R0085,2026-02-03,Återkommande kund,65+,Annan del av regionen,Telefon,Klagomål eller uppföljning,Kundinformation,5,1.6,Ja,Ja,,5,5,10,8,27.23,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0086,2026-04-22,Återkommande kund,25–34,Annanstans i Finland,Webbformulär,Köp eller bokning,Fakturering och betalning,10,1.7,Ja,Nej,,5,4,8,8,131.21,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0087,2026-02-20,Ny kund,45–54,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,7,2.6,Ja,Nej,,1,5,9,9,62.42,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0088,2026-02-05,Ny kund,45–54,Annan del av regionen,Telefon,Retur eller avbokning,Kundinformation,9,0.8,Ja,Ja,,5,4,10,8,60.8,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0089,2026-02-03,Återkommande kund,45–54,Lokalt område,Webbformulär,Produkt- eller tjänsteinformation,Kundinformation,12,1,Ja,Ja,,4,5,10,9,106.76,Nej,Jag hittade det mesta av informationen själv och kundservicen bekräftade den sista detaljen.
R0090,2026-04-08,Företagskund,35–44,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,11,1.5,Ja,Nej,,1,4,7,7,91.76,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0091,2026-05-19,Återkommande kund,18–24,Lokalt område,Chatt,Retur eller avbokning,Order och leverans,16,1.2,Ja,Nej,,2,5,6,7,139.85,Nej,"Jag sökte efter spårningsinformation på webbplatsen men hittade den inte, så jag var tvungen att använda webbformuläret."
R0092,2026-04-24,Ny kund,35–44,Annan del av regionen,Telefon,Köp eller bokning,Order och leverans,36,6.8,Nej,Nej,,2,5,7,6,68.69,Ja,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0093,2026-03-10,Ny kund,35–44,Annan del av regionen,Chatt,Teknisk support,Teknisk support,33,4.3,Nej,Nej,,4,3,3,4,94.63,Nej,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0094,2026-01-12,Ny kund,25–34,Annan del av regionen,Telefon,Fakturering eller betalning,Fakturering och betalning,14,1.1,Ja,Nej,,5,4,5,6,70.23,Nej,Betalningsproblemet löstes vid den första kontakten.
R0095,2026-04-13,Återkommande kund,65+,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,13,6.3,Nej,Nej,,1,4,5,5,48.23,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0096,2026-01-20,Återkommande kund,55–64,Annan del av regionen,E-post,Teknisk support,Teknisk support,24,2.4,Ja,Nej,3,4,3,6,5,108.63,Nej,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0097,2026-01-23,Ny kund,25–34,Annanstans i Finland,Chatt,Leverans- eller orderstatus,Order och leverans,20,2.7,Ja,Nej,,2,4,8,9,64.75,Nej,
R0098,2026-05-15,Återkommande kund,35–44,Annan del av regionen,Webbformulär,Leverans- eller orderstatus,Order och leverans,19,8.1,Nej,Nej,,2,4,5,5,131.62,Ja,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0099,2026-02-02,Företagskund,55–64,Lokalt område,Chatt,Installation eller konfigurering,Teknisk support,23,11.5,Nej,Nej,,3,3,5,5,911.18,Ja,"Det första tekniska svaret berättade vad jag skulle prova, men inte hur jag skulle göra det. Jag behövde kontakta företaget igen."
R0100,2026-05-13,Ny kund,65+,Lokalt område,Chatt,Köp eller bokning,Fakturering och betalning,20,1.6,Ja,Ja,,4,3,8,8,579.69,Ja,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0101,2026-01-25,Ny kund,45–54,Lokalt område,Chatt,Köp eller bokning,Kundinformation,7,5,Nej,Ja,,5,5,9,9,33.43,Ja,
R0102,2026-06-22,Återkommande kund,25–34,Lokalt område,Chatt,Installation eller konfigurering,Teknisk support,23,10.1,Nej,Ja,,3,2,4,6,31.55,Nej,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0103,2026-02-14,Ny kund,25–34,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,16,0.8,Ja,Ja,,4,5,8,8,8.94,Nej,Jag hittade det mesta av informationen själv och kundservicen bekräftade den sista detaljen.
R0104,2026-01-19,Företagskund,55–64,Lokalt område,E-post,Köp eller bokning,Fakturering och betalning,12,1.6,Ja,Ja,3,4,5,8,9,436.62,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0105,2026-05-28,Återkommande kund,25–34,Annan del av regionen,Telefon,Teknisk support,Teknisk support,36,9.8,Nej,Ja,,4,3,5,3,65.59,Ja,
R0106,2026-01-28,Ny kund,35–44,Lokalt område,Telefon,Produkt- eller tjänsteinformation,Kundinformation,20,1.5,Ja,Ja,,4,5,10,9,122.35,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0107,2026-04-14,Återkommande kund,25–34,Annanstans i Finland,Webbformulär,Köp eller bokning,Fakturering och betalning,10,1.9,Ja,Nej,,4,4,6,7,134.9,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0108,2026-01-21,Ny kund,55–64,Annanstans i Finland,Chatt,Produkt- eller tjänsteinformation,Kundinformation,19,0.7,Ja,Ja,,5,5,10,10,542.84,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0109,2026-05-17,Företagskund,25–34,Annanstans i Finland,Telefon,Leverans- eller orderstatus,Order och leverans,4,1.3,Ja,Nej,,2,5,7,5,102.48,Nej,
R0110,2026-03-09,Återkommande kund,55–64,Lokalt område,E-post,Köp eller bokning,Kundinformation,4,4.8,Nej,Ja,4,5,5,9,9,97.64,Ja,Personalen lyssnade noggrant och gav mig ett tydligt svar.
R0111,2026-06-13,Återkommande kund,35–44,Lokalt område,Webbformulär,Fakturering eller betalning,Fakturering och betalning,8,4.6,Nej,Nej,,4,4,5,5,148.3,Nej,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0112,2026-04-08,Ny kund,65+,Annan del av regionen,Webbformulär,Fakturering eller betalning,Fakturering och betalning,22,8.7,Nej,Ja,,4,4,6,7,71.73,Ja,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0113,2026-01-07,Återkommande kund,18–24,Lokalt område,Chatt,Retur eller avbokning,Order och leverans,30,1,Ja,Ja,,1,5,8,8,50.44,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0114,2026-06-07,Återkommande kund,45–54,Lokalt område,E-post,Klagomål eller uppföljning,Order och leverans,12,0.6,Ja,Nej,5,2,5,8,6,109.83,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
