ResponseID,Date,CustomerType,AgeGroup,Region,Channel,ContactReason,Department,WaitingTimeMinutes,ResolutionTimeHours,SolvedFirstContact,InformationEasyToFind,EmailResponseSpeedRating,WebsiteNavigationRating,StaffHelpfulnessRating,OverallSatisfaction,WouldRecommend,PurchaseOrServiceValueEUR,FollowUpNeeded,CustomerComment
R0024,2026-03-03,New customer,35–44,Other part of region,Phone,Billing or payment,Billing & Payments,10,3.9,Yes,No,,3,4,8,7,90.15,No,The billing information was easy enough to find and the final question was answered by email.
R0025,2026-06-23,Returning customer,18–24,Local area,Web form,Billing or payment,Billing & Payments,17,2.4,Yes,No,,3,5,7,7,72.22,No,The billing information was easy enough to find and the final question was answered by email.
R0026,2026-05-23,New customer,55–64,Other part of region,Email,Technical support,Technical Support,24,10.3,No,No,3,3,3,4,4,184.38,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0027,2026-02-21,New customer,25–34,Local area,Email,Product or service information,Customer Information,12,0.9,Yes,Yes,4,4,5,10,8,257.75,No,The employee listened carefully and gave me a clear answer.
R0028,2026-03-07,Returning customer,55–64,Local area,Web form,Complaint or follow-up,Orders & Delivery,6,1.8,Yes,No,,2,4,8,7,42.24,Yes,
R0029,2026-02-26,Returning customer,18–24,Local area,Phone,Installation or setup,Technical Support,25,4.5,Yes,No,,3,2,6,6,312.75,No,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0030,2026-02-22,New customer,55–64,Other part of region,Phone,Product or service information,Customer Information,18,2.5,Yes,Yes,,4,4,8,8,29.42,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0031,2026-06-08,Returning customer,25–34,Other part of region,In person,Purchase or booking,Billing & Payments,32,8.2,No,Yes,,3,4,6,7,56.0,Yes,"The employee was friendly, although the invoice layout could be clearer."
R0032,2026-03-21,Returning customer,55–64,Other part of region,Chat,Complaint or follow-up,Orders & Delivery,2,1.6,Yes,No,,2,5,8,7,378.63,No,"The return and delivery pages were hard to navigate, so I contacted customer service instead."
R0033,2026-04-20,Business customer,25–34,Elsewhere in Finland,In person,Product or service information,Customer Information,16,8.8,No,Yes,,5,5,10,10,100.66,No,"I was nervous about the online form, but the older lady talked me through it step by step."
R0034,2026-01-29,New customer,55–64,Elsewhere in Finland,Chat,Installation or setup,Technical Support,73,2.3,Yes,Yes,,4,3,7,8,78.71,No,"The technical problem was real, but the response felt dismissive rather than helpful."
R0035,2026-02-25,Business customer,45–54,Local area,Chat,Product or service information,Customer Information,12,5.4,No,No,,5,3,8,8,300.81,Yes,The older lady was probably the most helpful person I have spoken to at the company.
R0036,2026-05-26,New customer,65+,Elsewhere in Finland,Phone,Technical support,Technical Support,32,6.6,No,Yes,,5,2,4,3,232.57,No,The technician's answer was very short and I still did not know what to do.
R0037,2026-05-02,Business customer,25–34,Local area,Chat,Product or service information,Customer Information,4,0.9,Yes,Yes,,4,4,9,10,111.83,No,The employee listened carefully and gave me a clear answer.
R0038,2026-02-15,Returning customer,25–34,Local area,In person,Purchase or booking,Customer Information,17,0.6,Yes,No,,4,4,9,7,239.73,No,The older lady was probably the most helpful person I have spoken to at the company.
R0039,2026-02-15,New customer,45–54,Local area,Chat,Complaint or follow-up,Customer Information,1,1.7,Yes,Yes,,4,4,9,8,89.83,No,The older woman at customer information did not rush me and made sure I knew what to do next.
R0040,2026-06-06,New customer,18–24,Local area,Web form,Purchase or booking,Orders & Delivery,15,2.4,Yes,No,,2,4,7,7,55.26,Yes,My order question was solved quickly and the employee was helpful.
R0041,2026-03-26,New customer,25–34,Other part of region,Email,Billing or payment,Billing & Payments,4,1.6,Yes,No,3,4,5,10,6,34.63,No,I needed one follow-up about the invoice before everything was clear.
R0042,2026-03-12,Returning customer,65+,Other part of region,Web form,Purchase or booking,Orders & Delivery,35,1.3,Yes,No,,2,5,8,7,25.33,No,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0043,2026-06-14,Business customer,25–34,Local area,Phone,Return or cancellation,Customer Information,9,0.8,Yes,Yes,,4,5,10,10,211.22,No,"The older lady at the desk was warm, patient and very clear. I left knowing exactly what to do."
R0044,2026-03-21,New customer,25–34,Local area,Email,Complaint or follow-up,Billing & Payments,16,2.2,Yes,Yes,5,5,4,7,6,11.69,No,I needed one follow-up about the invoice before everything was clear.
R0045,2026-01-31,New customer,45–54,Local area,Phone,Delivery or order status,Orders & Delivery,13,9.1,No,No,,1,4,4,5,117.22,No,The website sent me in circles when I looked for delivery information. The actual service person was good.
R0046,2026-01-17,New customer,18–24,Other part of region,Email,Technical support,Technical Support,41,11.8,No,Yes,4,4,2,6,5,224.61,Yes,"The technical instructions were understandable, although the resolution took a while."
R0047,2026-05-16,Returning customer,45–54,Elsewhere in Finland,Chat,Billing or payment,Billing & Payments,1,1.3,Yes,Yes,,3,4,9,9,115.05,No,I needed one follow-up about the invoice before everything was clear.
R0048,2026-01-07,Returning customer,55–64,Local area,Chat,Technical support,Technical Support,1,11.1,No,No,,4,3,2,4,205.45,No,
R0049,2026-06-06,Returning customer,45–54,Local area,Chat,Technical support,Technical Support,32,12.3,No,Yes,,4,2,5,6,258.57,Yes,"I received an answer quickly, but it did not actually solve the problem."
R0050,2026-06-02,Returning customer,25–34,Local area,Email,Technical support,Technical Support,23,1.7,Yes,No,3,3,3,5,3,89.19,No,"The technical instructions were understandable, although the resolution took a while."
R0051,2026-03-11,Returning customer,55–64,Other part of region,Chat,Delivery or order status,Orders & Delivery,37,1.0,Yes,No,,3,3,9,8,23.31,No,I had a simple question about my order that really should have been answered on the website.
R0052,2026-05-07,Business customer,55–64,Other part of region,Email,Billing or payment,Billing & Payments,22,0.9,Yes,No,4,3,4,6,5,138.98,No,The invoice question was answered clearly and I understood the charge.
R0053,2026-06-28,New customer,35–44,Local area,Phone,Billing or payment,Billing & Payments,23,3.0,Yes,No,,4,5,10,8,57.7,No,The invoice question was answered clearly and I understood the charge.
R0054,2026-02-26,Business customer,35–44,Other part of region,Phone,Complaint or follow-up,Technical Support,24,13.7,No,No,,5,2,5,5,101.53,Yes,I had to explain the same technical issue twice before I got a useful answer.
R0055,2026-06-11,Business customer,45–54,Local area,Phone,Technical support,Technical Support,1,2.0,Yes,Yes,,4,2,5,6,142.39,No,
R0056,2026-03-05,Business customer,35–44,Local area,Email,Billing or payment,Billing & Payments,5,3.6,Yes,Yes,3,4,4,9,9,354.16,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0057,2026-03-22,Business customer,55–64,Local area,Phone,Billing or payment,Billing & Payments,14,4.6,Yes,No,,4,4,7,7,109.31,No,The billing information was easy enough to find and the final question was answered by email.
R0058,2026-02-21,New customer,25–34,Local area,Phone,Technical support,Technical Support,4,9.4,No,Yes,,4,3,4,5,26.2,Yes,The issue was more complicated than expected and took several steps to resolve.
R0059,2026-06-02,Returning customer,25–34,Other part of region,Web form,Delivery or order status,Orders & Delivery,33,2.2,Yes,No,,2,4,6,7,19.5,No,
R0060,2026-03-02,Returning customer,25–34,Local area,Email,Billing or payment,Billing & Payments,21,4.3,Yes,Yes,3,4,4,8,8,16.75,No,I needed one follow-up about the invoice before everything was clear.
R0061,2026-04-04,New customer,45–54,Local area,Email,Billing or payment,Billing & Payments,29,1.2,Yes,Yes,4,4,3,7,7,23.47,No,I needed one follow-up about the invoice before everything was clear.
R0062,2026-05-16,New customer,35–44,Other part of region,Chat,Installation or setup,Technical Support,25,2.6,Yes,Yes,,4,3,5,6,147.02,No,"The technical instructions were understandable, although the resolution took a while."
R0063,2026-06-26,Business customer,35–44,Local area,Web form,Delivery or order status,Orders & Delivery,14,1.5,Yes,Yes,,1,4,9,9,108.0,No,"The order arrived as promised, but I would like clearer updates during delivery."
R0064,2026-06-01,Business customer,55–64,Local area,Email,Purchase or booking,Billing & Payments,35,1.6,Yes,Yes,3,4,5,9,6,179.06,No,"The employee was friendly, although the invoice layout could be clearer."
R0065,2026-03-19,Returning customer,45–54,Other part of region,Web form,Technical support,Technical Support,44,11.4,No,No,,4,2,4,6,44.42,Yes,The technician's answer was very short and I still did not know what to do.
R0066,2026-06-26,New customer,35–44,Local area,Web form,Complaint or follow-up,Orders & Delivery,8,1.7,Yes,No,,2,5,9,7,54.03,No,"The order arrived as promised, but I would like clearer updates during delivery."
R0067,2026-03-25,Returning customer,55–64,Local area,Web form,Purchase or booking,Customer Information,5,0.7,Yes,Yes,,4,4,10,9,32.86,No,The employee listened carefully and gave me a clear answer.
R0068,2026-02-26,New customer,18–24,Local area,In person,Purchase or booking,Customer Information,9,1.0,Yes,Yes,,5,5,10,8,156.2,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0069,2026-06-03,New customer,45–54,Local area,Chat,Technical support,Technical Support,31,22.2,No,Yes,,5,3,3,3,170.28,Yes,
R0070,2026-01-14,New customer,65+,Elsewhere in Finland,Chat,Technical support,Technical Support,30,9.5,No,No,,4,3,4,5,106.72,Yes,The problem seems fixed now. I would have appreciated a little more explanation.
R0071,2026-01-21,Returning customer,35–44,Local area,Chat,Delivery or order status,Orders & Delivery,30,1.6,Yes,No,,2,5,8,6,74.98,No,
R0072,2026-05-12,Returning customer,25–34,Local area,Email,Delivery or order status,Orders & Delivery,21,4.6,Yes,No,4,2,3,7,6,127.1,No,
R0073,2026-03-22,New customer,25–34,Elsewhere in Finland,Phone,Product or service information,Customer Information,13,0.7,Yes,Yes,,3,4,9,7,586.45,No,The older woman at customer information did not rush me and made sure I knew what to do next.
R0074,2026-05-22,New customer,45–54,Local area,Email,Complaint or follow-up,Technical Support,14,3.2,Yes,Yes,3,5,2,7,7,49.03,No,"I received an answer quickly, but it did not actually solve the problem."
R0075,2026-03-11,Business customer,45–54,Other part of region,In person,Purchase or booking,Customer Information,11,6.2,No,Yes,,4,4,7,9,98.98,Yes,My question was answered. The process was fine overall.
R0076,2026-04-30,New customer,35–44,Local area,Phone,Product or service information,Customer Information,1,1.8,Yes,Yes,,5,5,10,10,166.1,No,Friendly service and a clear explanation of what I needed to do next.
R0077,2026-03-01,New customer,35–44,Other part of region,In person,Complaint or follow-up,Customer Information,3,1.9,Yes,No,,4,5,8,9,193.67,No,"The older lady at the desk was warm, patient and very clear. I left knowing exactly what to do."
R0078,2026-01-08,Business customer,18–24,Local area,Email,Delivery or order status,Orders & Delivery,20,1.8,Yes,No,3,2,5,7,8,32.46,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0079,2026-06-03,Returning customer,25–34,Elsewhere in Finland,In person,Complaint or follow-up,Billing & Payments,33,4.6,No,Yes,,5,5,7,9,315.65,No,
R0080,2026-02-11,Returning customer,18–24,Local area,In person,Purchase or booking,Customer Information,1,0.8,Yes,Yes,,4,4,10,10,202.37,No,Friendly service and a clear explanation of what I needed to do next.
R0081,2026-01-17,Returning customer,65+,Other part of region,Chat,Complaint or follow-up,Technical Support,23,1.5,Yes,No,,4,2,5,6,121.51,No,The technician's answer was very short and I still did not know what to do.
R0082,2026-04-09,Returning customer,45–54,Local area,Chat,Delivery or order status,Orders & Delivery,12,1.9,Yes,No,,2,3,7,7,26.72,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0083,2026-02-25,Returning customer,35–44,Elsewhere in Finland,Web form,Product or service information,Customer Information,11,0.6,Yes,Yes,,4,4,9,8,200.44,No,Excellent service from the older lady. She listened carefully and solved everything in one conversation.
R0084,2026-02-27,Returning customer,18–24,Other part of region,Web form,Delivery or order status,Orders & Delivery,14,1.4,Yes,No,,2,4,7,7,80.93,No,
R0085,2026-02-03,Returning customer,65+,Other part of region,Phone,Complaint or follow-up,Customer Information,5,1.6,Yes,Yes,,5,5,10,8,27.23,No,Friendly service and a clear explanation of what I needed to do next.
R0086,2026-04-22,Returning customer,25–34,Elsewhere in Finland,Web form,Purchase or booking,Billing & Payments,10,1.7,Yes,No,,5,4,8,8,131.21,No,The invoice question was answered clearly and I understood the charge.
R0087,2026-02-20,New customer,45–54,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,7,2.6,Yes,No,,1,5,9,9,62.42,No,I only contacted the company because I could not see when my order would arrive online.
R0088,2026-02-05,New customer,45–54,Other part of region,Phone,Return or cancellation,Customer Information,9,0.8,Yes,Yes,,5,4,10,8,60.8,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0089,2026-02-03,Returning customer,45–54,Local area,Web form,Product or service information,Customer Information,12,1.0,Yes,Yes,,4,5,10,9,106.76,No,I found most of the information myself and customer service confirmed the last detail.
R0090,2026-04-08,Business customer,35–44,Other part of region,Chat,Delivery or order status,Orders & Delivery,11,1.5,Yes,No,,1,4,7,7,91.76,No,I needed help with a return and the employee explained the next step clearly.
R0091,2026-05-19,Returning customer,18–24,Local area,Chat,Return or cancellation,Orders & Delivery,16,1.2,Yes,No,,2,5,6,7,139.85,No,"I searched the website for tracking information and could not find it, so I had to use the web form."
R0092,2026-04-24,New customer,35–44,Other part of region,Phone,Purchase or booking,Orders & Delivery,36,6.8,No,No,,2,5,7,6,68.69,Yes,I only contacted the company because I could not see when my order would arrive online.
R0093,2026-03-10,New customer,35–44,Other part of region,Chat,Technical support,Technical Support,33,4.3,No,No,,4,3,3,4,94.63,No,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0094,2026-01-12,New customer,25–34,Other part of region,Phone,Billing or payment,Billing & Payments,14,1.1,Yes,No,,5,4,5,6,70.23,No,The payment issue was solved during the first contact.
R0095,2026-04-13,Returning customer,65+,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,13,6.3,No,No,,1,4,5,5,48.23,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0096,2026-01-20,Returning customer,55–64,Other part of region,Email,Technical support,Technical Support,24,2.4,Yes,No,3,4,3,6,5,108.63,No,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0097,2026-01-23,New customer,25–34,Elsewhere in Finland,Chat,Delivery or order status,Orders & Delivery,20,2.7,Yes,No,,2,4,8,9,64.75,No,
R0098,2026-05-15,Returning customer,35–44,Other part of region,Web form,Delivery or order status,Orders & Delivery,19,8.1,No,No,,2,4,5,5,131.62,Yes,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0099,2026-02-02,Business customer,55–64,Local area,Chat,Installation or setup,Technical Support,23,11.5,No,No,,3,3,5,5,911.18,Yes,"The first technical reply told me what to try, but not how to do it. I needed another contact."
R0100,2026-05-13,New customer,65+,Local area,Chat,Purchase or booking,Billing & Payments,20,1.6,Yes,Yes,,4,3,8,8,579.69,Yes,The invoice question was answered clearly and I understood the charge.
R0101,2026-01-25,New customer,45–54,Local area,Chat,Purchase or booking,Customer Information,7,5.0,No,Yes,,5,5,9,9,33.43,Yes,
R0102,2026-06-22,Returning customer,25–34,Local area,Chat,Installation or setup,Technical Support,23,10.1,No,Yes,,3,2,4,6,31.55,No,The technician's answer was very short and I still did not know what to do.
R0103,2026-02-14,New customer,25–34,Other part of region,Phone,Product or service information,Customer Information,16,0.8,Yes,Yes,,4,5,8,8,8.94,No,I found most of the information myself and customer service confirmed the last detail.
R0104,2026-01-19,Business customer,55–64,Local area,Email,Purchase or booking,Billing & Payments,12,1.6,Yes,Yes,3,4,5,8,9,436.62,No,I needed one follow-up about the invoice before everything was clear.
R0105,2026-05-28,Returning customer,25–34,Other part of region,Phone,Technical support,Technical Support,36,9.8,No,Yes,,4,3,5,3,65.59,Yes,
R0106,2026-01-28,New customer,35–44,Local area,Phone,Product or service information,Customer Information,20,1.5,Yes,Yes,,4,5,10,9,122.35,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0107,2026-04-14,Returning customer,25–34,Elsewhere in Finland,Web form,Purchase or booking,Billing & Payments,10,1.9,Yes,No,,4,4,6,7,134.9,No,I needed one follow-up about the invoice before everything was clear.
R0108,2026-01-21,New customer,55–64,Elsewhere in Finland,Chat,Product or service information,Customer Information,19,0.7,Yes,Yes,,5,5,10,10,542.84,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0109,2026-05-17,Business customer,25–34,Elsewhere in Finland,Phone,Delivery or order status,Orders & Delivery,4,1.3,Yes,No,,2,5,7,5,102.48,No,
R0110,2026-03-09,Returning customer,55–64,Local area,Email,Purchase or booking,Customer Information,4,4.8,No,Yes,4,5,5,9,9,97.64,Yes,The employee listened carefully and gave me a clear answer.
R0111,2026-06-13,Returning customer,35–44,Local area,Web form,Billing or payment,Billing & Payments,8,4.6,No,No,,4,4,5,5,148.3,No,"The employee was friendly, although the invoice layout could be clearer."
R0112,2026-04-08,New customer,65+,Other part of region,Web form,Billing or payment,Billing & Payments,22,8.7,No,Yes,,4,4,6,7,71.73,Yes,The billing information was easy enough to find and the final question was answered by email.
R0113,2026-01-07,Returning customer,18–24,Local area,Chat,Return or cancellation,Orders & Delivery,30,1.0,Yes,Yes,,1,5,8,8,50.44,No,I needed help with a return and the employee explained the next step clearly.
R0114,2026-06-07,Returning customer,45–54,Local area,Email,Complaint or follow-up,Orders & Delivery,12,0.6,Yes,No,5,2,5,8,6,109.83,No,My order question was solved quickly and the employee was helpful.
R0115,2026-06-26,Returning customer,45–54,Local area,Chat,Purchase or booking,Customer Information,3,0.5,Yes,No,,4,5,9,7,61.13,No,My question was answered. The process was fine overall.
R0116,2026-01-14,New customer,65+,Elsewhere in Finland,Web form,Purchase or booking,Orders & Delivery,12,1.3,Yes,No,,2,5,8,7,93.92,No,My order question was solved quickly and the employee was helpful.
R0117,2026-06-25,Returning customer,45–54,Local area,Phone,Purchase or booking,Billing & Payments,22,1.0,Yes,Yes,,4,3,8,8,48.92,Yes,"The employee was friendly, although the invoice layout could be clearer."
R0118,2026-06-01,New customer,35–44,Local area,In person,Return or cancellation,Customer Information,13,0.8,Yes,No,,4,4,10,10,57.98,No,"I was nervous about the online form, but the older lady talked me through it step by step."
R0119,2026-03-31,New customer,35–44,Local area,Email,Technical support,Technical Support,22,16.7,No,No,4,4,2,2,3,55.59,Yes,I had to explain the same technical issue twice before I got a useful answer.
R0120,2026-05-29,New customer,55–64,Elsewhere in Finland,Email,Return or cancellation,Billing & Payments,11,3.6,Yes,No,4,3,5,8,7,188.31,No,"The employee was friendly, although the invoice layout could be clearer."
R0121,2026-03-17,New customer,25–34,Elsewhere in Finland,Chat,Return or cancellation,Orders & Delivery,17,5.9,No,No,,2,4,7,7,37.34,Yes,Customer service answered my delivery question. The process was acceptable overall.
R0122,2026-04-29,New customer,18–24,Other part of region,Email,Billing or payment,Billing & Payments,14,1.5,Yes,Yes,3,4,5,10,8,83.65,No,"The employee was friendly, although the invoice layout could be clearer."
R0123,2026-03-13,New customer,55–64,Local area,Phone,Billing or payment,Billing & Payments,11,7.5,No,Yes,,4,4,6,4,19.95,Yes,I needed one follow-up about the invoice before everything was clear.
R0124,2026-01-23,Returning customer,55–64,Local area,Phone,Technical support,Technical Support,34,1.6,Yes,Yes,,5,3,8,7,54.94,No,The issue was more complicated than expected and took several steps to resolve.
R0125,2026-01-12,New customer,65+,Elsewhere in Finland,Chat,Product or service information,Customer Information,9,1.4,Yes,Yes,,4,5,10,10,110.28,No,Very helpful customer information. My question was solved during the first contact.
R0126,2026-02-03,New customer,25–34,Other part of region,Phone,Product or service information,Customer Information,11,1.2,Yes,Yes,,4,5,9,6,316.52,No,
R0127,2026-05-03,New customer,65+,Other part of region,Email,Purchase or booking,Orders & Delivery,23,1.6,Yes,No,4,2,5,8,9,392.23,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0128,2026-06-19,Returning customer,18–24,Other part of region,Email,Complaint or follow-up,Technical Support,29,2.3,Yes,Yes,4,5,3,7,7,176.39,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0129,2026-01-28,Returning customer,45–54,Local area,Phone,Billing or payment,Billing & Payments,10,0.8,Yes,Yes,,4,4,8,7,87.84,No,"The payment process worked, but I would prefer a faster email reply."
R0130,2026-04-19,New customer,25–34,Local area,Email,Billing or payment,Billing & Payments,24,0.6,Yes,Yes,4,4,4,9,10,90.6,No,I received a clear answer to my billing question.
R0131,2026-06-02,New customer,18–24,Local area,Email,Complaint or follow-up,Billing & Payments,25,3.5,No,Yes,3,4,5,7,7,45.59,Yes,"I had to ask about an additional fee, but the explanation was reasonable."
R0132,2026-01-19,Returning customer,45–54,Other part of region,Phone,Billing or payment,Billing & Payments,13,3.4,Yes,Yes,,4,3,7,7,83.53,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0133,2026-06-08,Returning customer,25–34,Elsewhere in Finland,Email,Product or service information,Customer Information,6,0.4,Yes,No,4,3,5,8,9,52.64,No,Friendly service and a clear explanation of what I needed to do next.
R0134,2026-03-02,New customer,25–34,Local area,Email,Technical support,Technical Support,1,18.6,No,Yes,3,3,3,3,4,70.72,Yes,The problem seems fixed now. I would have appreciated a little more explanation.
R0135,2026-06-06,Business customer,18–24,Elsewhere in Finland,Chat,Product or service information,Customer Information,1,0.5,Yes,No,,3,4,9,10,1800,No,I had several questions and the older lady answered every one without making me feel hurried.
R0136,2026-02-03,New customer,35–44,Local area,Phone,Complaint or follow-up,Customer Information,19,1.0,Yes,Yes,,4,4,10,10,48.18,No,
R0137,2026-06-19,Returning customer,45–54,Other part of region,Email,Technical support,Technical Support,32,2.5,Yes,Yes,3,4,2,5,4,53.88,No,"I was told to check the instructions, but the instructions did not answer my question."
R0138,2026-02-12,New customer,35–44,Local area,Phone,Product or service information,Customer Information,15,0.6,Yes,Yes,,4,4,9,7,17.48,No,"The older lady at the desk was warm, patient and very clear. I left knowing exactly what to do."
R0139,2026-01-31,Returning customer,55–64,Other part of region,In person,Technical support,Technical Support,7,2.4,Yes,No,,4,2,4,4,89.56,No,"I received an answer quickly, but it did not actually solve the problem."
R0140,2026-03-12,Returning customer,25–34,Other part of region,In person,Product or service information,Customer Information,8,0.9,Yes,Yes,,5,5,10,10,28.7,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0141,2026-04-22,Business customer,25–34,Other part of region,Web form,Delivery or order status,Orders & Delivery,9,0.7,Yes,No,,2,4,5,8,364.83,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0142,2026-06-14,Returning customer,45–54,Local area,Email,Delivery or order status,Orders & Delivery,22,2.6,Yes,No,4,2,3,6,6,92.69,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0143,2026-06-24,New customer,35–44,Elsewhere in Finland,Email,Return or cancellation,Billing & Payments,18,1.5,Yes,Yes,5,4,5,8,7,137.66,No,"The payment process worked, but I would prefer a faster email reply."
R0144,2026-04-30,New customer,35–44,Local area,Phone,Product or service information,Customer Information,20,0.7,Yes,Yes,,4,5,10,9,628.26,No,The older lady who helped me was incredibly patient and explained every step clearly.
R0145,2026-04-19,Returning customer,18–24,Local area,Phone,Billing or payment,Billing & Payments,1,3.3,No,Yes,,4,4,7,6,141.7,Yes,"I had to ask about an additional fee, but the explanation was reasonable."
R0146,2026-01-20,Returning customer,25–34,Local area,Chat,Purchase or booking,Orders & Delivery,12,1.9,Yes,Yes,,2,4,8,9,39.34,No,My order question was solved quickly and the employee was helpful.
