SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
VBA025,2026-02-05,Återkommande kund,45–54,Vasa med omnejd,Telefon,Länk till utbildning,Teknisk support,37,8.9,Nej,Ja,,4,2,7,6,950,Ja,"Jag blev hänvisad till instruktionerna, men de löste inte mitt problem."
VBA026,2026-04-28,Ny kund,55–64,Övriga Finland,E-post,Anmälan till kurs,Kursanmälan och webb,13,2.7,Nej,Ja,5,2,5,6,8,690,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA027,2026-04-15,Ny kund,65+,Vasa med omnejd,E-post,Kursinnehåll och nivå,Kundinformation,6,1.5,Ja,Ja,3,4,4,10,9,690,Nej,Den äldre kvinnan på kundinformationen tog sig tid och hjälpte oss välja rätt utbildning utan att stressa.
VBA028,2026-02-01,Företagskund,25–34,Övriga Finland,Telefon,Problem med kursplattform,Teknisk support,47,5.3,Nej,Nej,,5,3,4,4,850,Nej,"Jag blev hänvisad till instruktionerna, men de löste inte mitt problem."
VBA029,2026-06-15,Ny kund,25–34,Vasa med omnejd,Telefon,Faktura efter utbildning,Fakturering och betalning,2,0.6,Ja,Nej,,3,5,7,7,690,Nej,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA030,2026-05-12,Ny kund,55–64,Övriga Finland,Telefon,Fakturauppgifter,Fakturering och betalning,10,1.3,Ja,Nej,,4,4,9,6,690,Nej,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA031,2026-06-02,Återkommande kund,55–64,Vasa med omnejd,E-post,Val av utbildning,Kundinformation,15,0.9,Ja,Ja,4,3,5,8,9,690,Nej,Jag fick tydlig information om kursen och vad som ingår.
VBA032,2026-02-11,Företagskund,35–44,Övriga Österbotten,Webbformulär,"Teams, ljud eller kamera",Teknisk support,34,6.7,Nej,Nej,,3,2,6,7,690,Ja,Jag fick bara en länk tillbaka och ingen förklaring till vad jag skulle göra.
VBA033,2026-03-29,Ny kund,65+,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,2,2.3,Nej,Ja,4,4,4,8,7,1390,Nej,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA034,2026-02-08,Ny kund,45–54,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,15,1.3,Nej,Nej,4,3,4,7,7,1150,Nej,Jag behövde kontrollera referensnumret men fick ett bra svar.
VBA035,2026-01-09,Ny kund,55–64,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,1,1.3,Ja,Nej,4,4,4,8,8,690,Nej,Fakturan var tydlig och frågan löstes snabbt.
VBA036,2026-01-10,Företagskund,45–54,Övriga Österbotten,Telefon,Länk till utbildning,Teknisk support,19,0.3,Nej,Nej,,3,4,6,6,950,Nej,Supporten svarade snabbt men tonen var ganska avvisande och problemet blev inte löst direkt.
VBA037,2026-01-14,Ny kund,45–54,Övriga Finland,Telefon,Pris och offert,Kundinformation,8,0.9,Ja,Ja,,3,4,9,9,1150,Nej,"Väldigt varmt och professionellt bemötande. Den äldre damen gick igenom pris, upplägg och nästa steg i lugn takt."
VBA038,2026-05-26,Ny kund,35–44,Övriga Österbotten,Webbformulär,Online eller på plats,Kundinformation,3,1.6,Ja,Ja,,5,5,10,9,790,Nej,"Servicen var vänlig, men jag hade gärna sett en jämförelse av kurserna på webbplatsen."
VBA039,2026-02-09,Företagskund,35–44,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,19,0.8,Ja,Nej,5,3,4,9,8,1150,Nej,Bra och saklig hjälp med fakturauppgifterna.
VBA040,2026-03-21,Ny kund,45–54,Vasa med omnejd,E-post,Val av utbildning,Kundinformation,1,1.1,Ja,Nej,5,4,4,9,8,1150,Nej,Mycket personlig service. Den äldre damen kom ihåg min tidigare fråga och hjälpte mig vidare direkt.
VBA041,2026-04-28,Återkommande kund,45–54,Vasa med omnejd,E-post,Fakturauppgifter,Fakturering och betalning,5,1.9,Ja,Ja,4,3,4,8,7,690,Nej,Fakturan kom som väntat efter utbildningen.
VBA042,2026-02-07,Återkommande kund,65+,Vasa med omnejd,Telefon,Hitta rätt kursinformation,Kursanmälan och webb,16,2.8,Nej,Nej,,2,4,6,5,790,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA043,2026-01-17,Ny kund,55–64,Övriga Finland,Webbformulär,Anmälan till kurs,Kursanmälan och webb,17,1.7,Ja,Ja,,1,4,7,5,850,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA044,2026-04-23,Företagskund,65+,Vasa med omnejd,Telefon,Faktura efter utbildning,Fakturering och betalning,1,2.6,Ja,Ja,,5,4,8,8,690,Nej,Fakturan var tydlig och frågan löstes snabbt.
VBA045,2026-03-06,Ny kund,45–54,Övriga Österbotten,E-post,Länk till utbildning,Teknisk support,23,4.7,Nej,Ja,4,4,3,1,7,850,Ja,Jag kom in på kursen efter en andra kontakt med supporten.
VBA046,2026-01-15,Återkommande kund,35–44,Övriga Österbotten,Webbformulär,Fakturauppgifter,Fakturering och betalning,14,1.8,Ja,Ja,,5,4,8,8,790,Nej,Fakturan var tydlig och frågan löstes snabbt.
VBA047,2026-04-09,Återkommande kund,35–44,Övriga Österbotten,Webbformulär,Problem med kursplattform,Teknisk support,21,6.9,Nej,Ja,,4,3,5,6,1390,Ja,Jag kom in på kursen efter en andra kontakt med supporten.
VBA048,2026-05-28,Återkommande kund,45–54,Övriga Finland,Telefon,Inloggning till onlinekurs,Teknisk support,26,6.3,Nej,Ja,,4,3,5,7,790,Ja,Svaret var tekniskt korrekt men inte särskilt hjälpsamt. Jag behövde kontakta er en gång till.
VBA049,2026-02-22,Återkommande kund,45–54,Vasa med omnejd,E-post,Kursdatum och plats,Kursanmälan och webb,21,0.6,Ja,Nej,3,2,5,8,6,690,Nej,Jag hittade flera sidor om kursen men inte vilken information som var aktuell.
VBA050,2026-05-11,Ny kund,65+,Övriga Finland,E-post,Pris och offert,Kundinformation,10,1.2,Ja,Ja,4,5,4,9,10,1150,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA051,2026-06-23,Företagskund,25–34,Vasa med omnejd,E-post,Faktura,Fakturering och betalning,7,2.1,Nej,Nej,3,4,3,8,9,1150,Nej,Fakturan kom som väntat efter utbildningen.
VBA052,2026-04-19,Återkommande kund,55–64,Övriga Österbotten,Telefon,Pris och offert,Kundinformation,9,1.2,Ja,Ja,,4,5,10,10,950,Ja,Bra hjälp med att välja mellan AI at Work och AI in Practice.
VBA053,2026-04-26,Företagskund,45–54,Övriga Finland,Telefon,Betalningsvillkor,Fakturering och betalning,10,1.7,Ja,Ja,,4,4,8,8,690,Nej,Jag behövde kontrollera referensnumret men fick ett bra svar.
VBA054,2026-05-25,Återkommande kund,45–54,Vasa med omnejd,Telefon,Val av utbildning,Kundinformation,8,1.0,Ja,Ja,,4,5,8,9,850,Nej,"Väldigt varmt och professionellt bemötande. Den äldre damen gick igenom pris, upplägg och nästa steg i lugn takt."
VBA055,2026-04-04,Ny kund,45–54,Vasa med omnejd,Webbformulär,"Teams, ljud eller kamera",Teknisk support,26,4.0,Nej,Nej,,3,3,2,3,1150,Ja,"Supporten löste problemet, men instruktionen kunde ha varit tydligare."
VBA056,2026-03-14,Återkommande kund,35–44,Övriga Finland,E-post,Kursinnehåll och nivå,Kundinformation,5,0.9,Ja,Ja,5,5,5,9,10,1390,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA057,2026-03-10,Företagskund,35–44,Övriga Österbotten,E-post,"Teams, ljud eller kamera",Teknisk support,53,6.2,Nej,Ja,2,4,3,5,5,1150,Nej,Supporten svarade snabbt men tonen var ganska avvisande och problemet blev inte löst direkt.
VBA058,2026-05-06,Återkommande kund,25–34,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,14,2.7,Nej,Nej,5,3,4,8,6,850,Nej,Fakturan var tydlig och frågan löstes snabbt.
VBA059,2026-04-30,Återkommande kund,55–64,Övriga Österbotten,E-post,Pris och offert,Kundinformation,10,1.4,Ja,Ja,5,4,5,10,10,790,Ja,Jag fick tydlig information om kursen och vad som ingår.
VBA060,2026-04-25,Återkommande kund,35–44,Vasa med omnejd,E-post,Pris på webbplatsen,Kursanmälan och webb,26,1.1,Ja,Nej,3,3,4,8,5,790,Nej,Jag behövde skicka e-post bara för att få veta datum och plats. Den informationen borde finnas tydligare på webben.
VBA061,2026-06-08,Återkommande kund,35–44,Vasa med omnejd,E-post,Kursdatum och plats,Kursanmälan och webb,16,2.3,Ja,Nej,4,2,5,8,7,790,Nej,Jag behövde skicka e-post bara för att få veta datum och plats. Den informationen borde finnas tydligare på webben.
VBA062,2026-02-06,Ny kund,35–44,Övriga Finland,Telefon,Pris och offert,Kundinformation,12,1.2,Ja,Ja,,4,5,8,9,1150,Nej,Den äldre kvinnan jag pratade med var fantastisk. Hon försäkrade sig om att jag verkligen hade förstått allt innan vi avslutade.
VBA063,2026-03-23,Ny kund,35–44,Vasa med omnejd,E-post,Anmälan till kurs,Kursanmälan och webb,2,2.2,Ja,Nej,4,2,4,7,5,1150,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA064,2026-04-16,Ny kund,55–64,Vasa med omnejd,E-post,Problem med kursplattform,Teknisk support,38,3.3,Ja,Ja,3,4,1,6,4,690,Ja,Svaret var tekniskt korrekt men inte särskilt hjälpsamt. Jag behövde kontakta er en gång till.
VBA065,2026-06-14,Ny kund,35–44,Övriga Österbotten,E-post,Anmälan till kurs,Kursanmälan och webb,16,2.0,Ja,Ja,4,2,4,7,6,690,Nej,Webbplatsen gjorde det svårt att förstå skillnaden mellan AI at Work och AI in Practice. Kundservicen förklarade bra.
VBA066,2026-06-11,Återkommande kund,55–64,Vasa med omnejd,Webbformulär,Val av utbildning,Kundinformation,6,1.6,Ja,Ja,,4,5,8,8,690,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA067,2026-04-14,Ny kund,45–54,Vasa med omnejd,E-post,Pris på webbplatsen,Kursanmälan och webb,19,2.3,Ja,Nej,4,2,4,8,6,1390,Ja,Jag borde ha kunnat se direkt på webben om kursen ordnas online eller hos kunden.
VBA068,2026-02-22,Ny kund,45–54,Övriga Finland,E-post,Val av utbildning,Kundinformation,5,1.7,Ja,Nej,3,4,4,9,10,790,Ja,"Väldigt varmt och professionellt bemötande. Den äldre damen gick igenom pris, upplägg och nästa steg i lugn takt."
VBA069,2026-06-12,Återkommande kund,25–34,Vasa med omnejd,Telefon,Betalningsvillkor,Fakturering och betalning,1,2.1,Ja,Ja,,4,4,7,9,950,Nej,Jag behövde kontrollera referensnumret men fick ett bra svar.
VBA070,2026-03-18,Återkommande kund,55–64,Övriga Österbotten,Webbformulär,Online eller på plats,Kundinformation,3,1.7,Ja,Ja,,4,4,7,9,690,Nej,Jag fick tydlig information om kursen och vad som ingår.
VBA071,2026-03-19,Ny kund,35–44,Vasa med omnejd,E-post,Pris och offert,Kundinformation,12,0.9,Ja,Ja,5,4,4,8,9,1150,Nej,Den äldre kvinnan jag pratade med var fantastisk. Hon försäkrade sig om att jag verkligen hade förstått allt innan vi avslutade.
VBA072,2026-01-24,Återkommande kund,55–64,Övriga Österbotten,E-post,Val av utbildning,Kundinformation,17,1.9,Ja,Nej,5,4,5,9,9,690,Nej,Jag fick tydlig information om kursen och vad som ingår.
VBA073,2026-05-16,Återkommande kund,25–34,Övriga Österbotten,Telefon,Fakturauppgifter,Fakturering och betalning,11,2.6,Ja,Ja,,4,4,8,10,850,Nej,Fakturan kom som väntat efter utbildningen.
VBA074,2026-03-24,Ny kund,25–34,Vasa med omnejd,Webbformulär,Länk till utbildning,Teknisk support,36,6.8,Ja,Ja,,4,3,6,10,1150,Ja,Det kändes som att jag störde när jag bad om hjälp med Teams. Jag fick försöka igen senare.
VBA075,2026-06-07,Företagskund,35–44,Övriga Finland,Telefon,Länk till utbildning,Teknisk support,18,8.6,Nej,Ja,,4,3,5,5,1150,Ja,"Jag blev hänvisad till instruktionerna, men de löste inte mitt problem."
VBA076,2026-03-25,Återkommande kund,55–64,Vasa med omnejd,E-post,Fakturauppgifter,Fakturering och betalning,17,1.3,Ja,Ja,4,4,5,9,7,1390,Nej,Bra och saklig hjälp med fakturauppgifterna.
VBA077,2026-03-17,Ny kund,55–64,Övriga Österbotten,E-post,Anmälan till kurs,Kursanmälan och webb,15,1.4,Ja,Nej,3,2,4,7,7,690,Ja,Jag behövde skicka e-post bara för att få veta datum och plats. Den informationen borde finnas tydligare på webben.
VBA078,2026-04-15,Ny kund,45–54,Övriga Österbotten,E-post,Kursdatum och plats,Kursanmälan och webb,23,2.7,Ja,Ja,3,2,3,7,5,790,Nej,"Personalen var hjälpsam, men jag kontaktade er bara eftersom jag inte hittade kursdatumet på webbplatsen."
VBA079,2026-05-29,Återkommande kund,45–54,Vasa med omnejd,E-post,Hitta rätt kursinformation,Kursanmälan och webb,13,2.0,Ja,Nej,3,2,4,6,7,690,Nej,Jag behövde skicka e-post bara för att få veta datum och plats. Den informationen borde finnas tydligare på webben.
VBA080,2026-02-15,Ny kund,65+,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,23,1.8,Ja,Nej,,2,5,8,7,1150,Ja,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA081,2026-06-20,Ny kund,35–44,Övriga Österbotten,Webbformulär,Pris på webbplatsen,Kursanmälan och webb,23,2.3,Ja,Nej,,2,5,8,9,690,Nej,"Informationen fanns, men det tog onödigt lång tid att hitta den."
VBA082,2026-04-03,Återkommande kund,65+,Vasa med omnejd,E-post,Problem med kursplattform,Teknisk support,18,3.9,Ja,Ja,4,3,2,4,7,690,Ja,Jag fick ett mycket kort svar och visste fortfarande inte hur jag skulle komma in på utbildningen.
VBA083,2026-06-10,Ny kund,55–64,Vasa med omnejd,Webbformulär,Pris och offert,Kundinformation,14,0.7,Nej,Ja,,4,4,10,9,690,Nej,Den äldre kvinnan jag pratade med var fantastisk. Hon försäkrade sig om att jag verkligen hade förstått allt innan vi avslutade.
VBA084,2026-01-20,Återkommande kund,25–34,Övriga Österbotten,Telefon,Anmälan till kurs,Kursanmälan och webb,15,2.6,Ja,Nej,,2,4,7,5,690,Ja,Jag borde ha kunnat se direkt på webben om kursen ordnas online eller hos kunden.
VBA085,2026-06-16,Ny kund,45–54,Vasa med omnejd,E-post,Problem med kursplattform,Teknisk support,25,1.3,Ja,Ja,3,3,3,4,6,1390,Ja,Jag fick bara en länk tillbaka och ingen förklaring till vad jag skulle göra.
VBA086,2026-02-20,Återkommande kund,35–44,Vasa med omnejd,E-post,Inloggning till onlinekurs,Teknisk support,49,1.2,Nej,Nej,2,3,2,4,2,690,Nej,Jag fick ett mycket kort svar och visste fortfarande inte hur jag skulle komma in på utbildningen.
VBA087,2026-05-15,Återkommande kund,25–34,Övriga Finland,Webbformulär,Online eller på plats,Kundinformation,4,1.6,Ja,Ja,,4,5,9,10,850,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA088,2026-01-11,Återkommande kund,45–54,Vasa med omnejd,Webbformulär,Inloggning till onlinekurs,Teknisk support,15,7.9,Nej,Ja,,4,3,7,3,790,Ja,Det kändes som att jag störde när jag bad om hjälp med Teams. Jag fick försöka igen senare.
VBA089,2026-02-28,Företagskund,55–64,Vasa med omnejd,Telefon,Pris på webbplatsen,Kursanmälan och webb,7,0.3,Ja,Nej,,3,4,7,8,690,Ja,Jag hittade flera sidor om kursen men inte vilken information som var aktuell.
VBA090,2026-04-28,Återkommande kund,35–44,Vasa med omnejd,Telefon,Faktura efter utbildning,Fakturering och betalning,13,1.3,Ja,Nej,,4,4,9,8,690,Ja,Jag behövde kontrollera referensnumret men fick ett bra svar.
VBA091,2026-01-20,Återkommande kund,25–34,Vasa med omnejd,E-post,Pris på webbplatsen,Kursanmälan och webb,21,2.4,Ja,Nej,4,2,5,5,6,850,Nej,"Personalen var hjälpsam, men jag kontaktade er bara eftersom jag inte hittade kursdatumet på webbplatsen."
VBA092,2026-01-25,Ny kund,65+,Övriga Finland,Webbformulär,Val av utbildning,Kundinformation,15,0.6,Ja,Ja,,5,5,9,7,690,Nej,Kundinformationen svarade tydligt på mina frågor om upplägget.
VBA093,2026-06-03,Företagskund,55–64,Övriga Österbotten,E-post,Inloggning till onlinekurs,Teknisk support,21,6.7,Nej,Nej,3,3,2,5,7,690,Ja,Det kändes som att jag störde när jag bad om hjälp med Teams. Jag fick försöka igen senare.
VBA094,2026-06-06,Ny kund,55–64,Vasa med omnejd,Webbformulär,Faktura,Fakturering och betalning,3,0.5,Nej,Ja,,3,4,7,9,690,Nej,Fakturan var tydlig och frågan löstes snabbt.
VBA095,2026-06-02,Företagskund,35–44,Övriga Österbotten,Telefon,Problem med kursplattform,Teknisk support,36,9.1,Ja,Ja,,4,3,4,4,690,Nej,"Jag fick höra att det borde vara enkelt, men jag behövde fortfarande hjälp för att få ljudet att fungera."
VBA096,2026-01-20,Ny kund,55–64,Vasa med omnejd,Webbformulär,Problem med kursplattform,Teknisk support,17,3.6,Nej,Ja,,4,3,6,8,790,Nej,Jag fick ett mycket kort svar och visste fortfarande inte hur jag skulle komma in på utbildningen.
VBA097,2026-05-15,Ny kund,55–64,Övriga Finland,Webbformulär,Problem med kursplattform,Teknisk support,32,4.6,Nej,Ja,,4,2,6,6,850,Ja,Svaret var tekniskt korrekt men inte särskilt hjälpsamt. Jag behövde kontakta er en gång till.
VBA098,2026-04-23,Ny kund,45–54,Övriga Österbotten,E-post,Online eller på plats,Kundinformation,10,1.8,Ja,Ja,5,5,5,10,8,1150,Nej,Den äldre kvinnan på kundinformationen tog sig tid och hjälpte oss välja rätt utbildning utan att stressa.
VBA099,2026-05-21,Företagskund,65+,Vasa med omnejd,Webbformulär,Kursinnehåll och nivå,Kundinformation,10,0.2,Nej,Ja,,5,4,8,8,1150,Ja,Bra hjälp med att välja mellan AI at Work och AI in Practice.
VBA100,2026-02-26,Företagskund,55–64,Övriga Österbotten,E-post,Kursinnehåll och nivå,Kundinformation,10,1.0,Ja,Ja,5,4,5,9,9,1150,Nej,Kundinformationen svarade tydligt på mina frågor om upplägget.
VBA101,2026-04-17,Återkommande kund,55–64,Övriga Österbotten,E-post,Anmälan till kurs,Kursanmälan och webb,20,2.8,Ja,Nej,5,1,4,5,6,790,Nej,Webbplatsen gjorde det svårt att förstå skillnaden mellan AI at Work och AI in Practice. Kundservicen förklarade bra.
VBA102,2026-04-10,Ny kund,35–44,Övriga Finland,E-post,Kursinnehåll och nivå,Kundinformation,10,1.3,Ja,Ja,4,4,5,10,9,690,Ja,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
VBA103,2026-04-04,Återkommande kund,55–64,Övriga Finland,E-post,Pris på webbplatsen,Kursanmälan och webb,1,1.4,Ja,Nej,4,1,4,8,7,1390,Nej,"Jag hittade nästan allt, men behövde bekräfta en detalj om anmälan."
VBA104,2026-02-11,Återkommande kund,25–34,Övriga Finland,E-post,Anmälan till kurs,Kursanmälan och webb,26,1.5,Nej,Nej,5,2,5,7,6,690,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA105,2026-06-03,Ny kund,45–54,Vasa med omnejd,E-post,"Teams, ljud eller kamera",Teknisk support,34,6.6,Ja,Nej,2,4,1,3,6,850,Ja,"Jag fick höra att det borde vara enkelt, men jag behövde fortfarande hjälp för att få ljudet att fungera."
VBA106,2026-02-06,Företagskund,35–44,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,17,1.4,Ja,Nej,,1,5,7,8,1150,Nej,Webbplatsen gjorde det svårt att förstå skillnaden mellan AI at Work och AI in Practice. Kundservicen förklarade bra.
VBA107,2026-01-24,Företagskund,35–44,Vasa med omnejd,Webbformulär,Faktura efter utbildning,Fakturering och betalning,11,2.4,Ja,Ja,,4,5,9,7,690,Ja,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA108,2026-03-27,Återkommande kund,55–64,Övriga Österbotten,E-post,Länk till utbildning,Teknisk support,23,5.2,Nej,Nej,3,3,2,6,7,690,Ja,Jag fick bara en länk tillbaka och ingen förklaring till vad jag skulle göra.
VBA109,2026-05-10,Återkommande kund,35–44,Vasa med omnejd,Webbformulär,Pris på webbplatsen,Kursanmälan och webb,8,2.0,Ja,Nej,,3,4,9,7,690,Ja,Jag borde ha kunnat se direkt på webben om kursen ordnas online eller hos kunden.
VBA110,2026-05-04,Företagskund,55–64,Vasa med omnejd,Webbformulär,Pris och offert,Kundinformation,4,1.5,Ja,Ja,,5,5,9,9,850,Nej,Den äldre damen jag talade med var otroligt tålmodig och förklarade skillnaden mellan kurserna på ett enkelt sätt.
